# Force coefficients
# liftDir    : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis  : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf    : 5.400000e-01
# lRef       : 4.000000e-02
# Aref       : 1.570000e-02
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time       	Cm           	Cd           	Cl           	Cl(f)        	Cl(r)        
1.199904e-04 	-1.809215e-06	2.236354e+03	-4.779303e-06	-4.198866e-06	-5.804363e-07
2.639651e-04 	-2.111274e-06	-7.400124e+02	1.836258e-05	7.070016e-06	1.129256e-05
4.367048e-04 	-2.471884e-06	-3.844631e+00	-5.103576e-06	-5.023672e-06	-7.990394e-08
6.439065e-04 	-2.353016e-06	-2.600746e+00	3.383190e-05	1.456293e-05	1.926897e-05
8.924660e-04 	-2.239492e-06	-3.574272e-01	4.596926e-05	2.074514e-05	2.522412e-05
1.190619e-03 	-2.113449e-06	7.265928e-01	4.327479e-05	1.952395e-05	2.375085e-05
1.546149e-03 	-1.936598e-06	1.182963e+00	2.542379e-05	1.077530e-05	1.464849e-05
1.958777e-03 	-1.638152e-06	1.424502e+00	5.489119e-05	2.580744e-05	2.908375e-05
2.427742e-03 	-1.337029e-06	1.622244e+00	4.167153e-05	1.949874e-05	2.217280e-05
2.952607e-03 	-1.633100e-06	1.826507e+00	4.163861e-05	1.918620e-05	2.245240e-05
3.509211e-03 	-1.543245e-06	2.025759e+00	4.487394e-05	2.089373e-05	2.398022e-05
4.061481e-03 	-1.460744e-06	2.203889e+00	7.685378e-05	3.696615e-05	3.988764e-05
4.610693e-03 	-1.490768e-06	2.333074e+00	7.671752e-05	3.686799e-05	3.984953e-05
5.158085e-03 	-1.318494e-06	2.419769e+00	5.207054e-05	2.471678e-05	2.735377e-05
5.705476e-03 	-1.084171e-06	2.467605e+00	8.430633e-06	3.131146e-06	5.299487e-06
6.254083e-03 	-6.780625e-07	2.476091e+00	-2.090968e-05	-1.113290e-05	-9.776778e-06
6.805754e-03 	-9.002956e-07	2.456592e+00	2.821519e-05	1.320730e-05	1.500789e-05
7.362407e-03 	-6.237959e-07	2.439451e+00	2.469174e-05	1.172207e-05	1.296967e-05
7.924779e-03 	-1.814507e-07	2.420395e+00	5.480895e-05	2.722302e-05	2.758592e-05
8.494970e-03 	9.453303e-09	2.410052e+00	1.654383e-05	8.281371e-06	8.262464e-06
9.073892e-03 	2.081556e-07	2.426260e+00	1.941628e-05	9.916297e-06	9.499986e-06
9.662533e-03 	3.004499e-07	2.340746e+00	3.682593e-05	1.871342e-05	1.811252e-05
1.026124e-02 	1.511517e-07	2.339630e+00	2.552661e-05	1.291446e-05	1.261215e-05
1.087112e-02 	-1.231975e-07	2.354491e+00	-2.196667e-05	-1.110653e-05	-1.086014e-05
1.149106e-02 	-1.360591e-07	2.401474e+00	6.573640e-06	3.150761e-06	3.422879e-06
1.212139e-02 	-1.469030e-07	2.447126e+00	3.100528e-05	1.535574e-05	1.564954e-05
1.276081e-02 	-5.097585e-07	2.506319e+00	1.930855e-05	9.144517e-06	1.016403e-05
1.340788e-02 	-2.071212e-07	2.545083e+00	5.187227e-05	2.572902e-05	2.614326e-05
1.406102e-02 	-3.223167e-07	2.550024e+00	3.388731e-05	1.662134e-05	1.726597e-05
1.471858e-02 	-1.688014e-07	2.553599e+00	4.752255e-05	2.359247e-05	2.393008e-05
1.537793e-02 	-3.975687e-07	2.557464e+00	2.239655e-05	1.080071e-05	1.159584e-05
1.603728e-02 	-4.787245e-07	2.549997e+00	7.761422e-06	3.401986e-06	4.359435e-06
1.669484e-02 	-3.044639e-07	2.529613e+00	2.493572e-05	1.216339e-05	1.277232e-05
1.734973e-02 	-2.086378e-07	2.523203e+00	-8.148351e-06	-4.282813e-06	-3.865538e-06
1.800284e-02 	-1.848590e-07	2.515578e+00	-2.218300e-05	-1.127636e-05	-1.090664e-05
1.865331e-02 	-1.010235e-07	2.489109e+00	3.766260e-05	1.873028e-05	1.893233e-05
1.930202e-02 	2.156463e-07	2.463548e+00	4.081095e-05	2.062112e-05	2.018983e-05
